50
10 62
182 44
299 28
346 60
316 51
347 65
338 230
370 174
364 261
394 230
350 298
387 314
260 372
227 384
231 314
212 351
150 369
130 381
113 385
55 384
39 348
43 308
158 311
322 229
231 253
289 236
232 175
201 275
185 253
170 257
125 308
174 243
68 300
218 156
21 310
41 382
33 376
26 382
11 308
143 159
178 141
58 179
110 104
172 106
277 148
282 87
305 165
293 104
286 33
153 62
50
10 62
185 253
110 104
153 62
143 159
182 44
172 106
178 141
286 33
282 87
299 28
293 104
218 156
232 175
277 148
316 51
347 65
370 174
346 60
394 230
322 229
305 165
231 253
289 236
338 230
364 261
350 298
387 314
201 275
170 257
231 314
158 311
212 351
260 372
227 384
130 381
150 369
113 385
55 384
41 382
33 376
26 382
39 348
125 308
43 308
68 300
21 310
11 308
58 179
174 243
50
10 62
110 104
172 106
143 159
178 141
218 156
232 175
185 253
277 148
153 62
182 44
282 87
305 165
231 253
289 236
201 275
322 229
293 104
286 33
299 28
316 51
346 60
338 230
370 174
347 65
394 230
231 314
364 261
387 314
350 298
260 372
227 384
150 369
212 351
158 311
130 381
113 385
55 384
39 348
41 382
26 382
11 308
33 376
43 308
125 308
170 257
174 243
68 300
21 310
58 179
50
10 62
299 28
316 51
346 60
347 65
282 87
293 104
370 174
394 230
322 229
305 165
277 148
289 236
231 253
338 230
364 261
350 298
387 314
260 372
227 384
212 351
231 314
150 369
158 311
201 275
185 253
174 243
232 175
218 156
178 141
170 257
125 308
143 159
68 300
130 381
113 385
55 384
41 382
43 308
39 348
21 310
33 376
26 382
11 308
58 179
172 106
110 104
153 62
182 44
286 33
50
10 62
153 62
182 44
299 28
286 33
172 106
178 141
316 51
218 156
232 175
277 148
282 87
346 60
347 65
394 230
370 174
364 261
293 104
305 165
231 253
289 236
201 275
322 229
338 230
387 314
350 298
231 314
158 311
260 372
125 308
185 253
170 257
174 243
68 300
212 351
130 381
227 384
113 385
150 369
43 308
55 384
39 348
41 382
26 382
33 376
21 310
11 308
143 159
58 179
110 104
50
10 62
299 28
182 44
172 106
282 87
232 175
231 314
289 236
277 148
322 229
305 165
293 104
316 51
286 33
346 60
394 230
347 65
338 230
370 174
387 314
364 261
350 298
260 372
227 384
113 385
55 384
41 382
130 381
212 351
150 369
201 275
158 311
33 376
39 348
125 308
68 300
170 257
43 308
